,Year,Round,Region Number,Region Name,Seed,Score,Team,Team.1,Score.1,Seed.1,Pointdiff,Winner,Champs,MM19,,Seed,Matchup,Champs
215,1988,1,4,Southeast,3,81,Illinois,Texas San Antonio,72,14,9,1,0,No,,3,14,0
216,1988,1,4,Southeast,4,98,BYU,Charlotte,92,13,6,1,0,No,,4,13,0
217,1988,1,4,Southeast,5,70,Louisville,Oregon St,61,12,9,1,0,Yes (1),,5,12,0
218,1988,1,4,Southeast,6,82,Villanova,Arkansas,74,11,8,1,0,Yes (1),,6,11,0
219,1988,1,4,Southeast,7,92,Maryland,Santa Barbara,82,10,10,1,0,Yes (1),,7,10,0
220,1988,1,4,Southeast,8,90,Auburn,Bradley,86,9,4,1,0,Yes (1),,8,9,0
221,1988,2,1,Midwest,1,100,Purdue,Memphis,73,9,27,1,0,Yes (1),,1,9,0
222,1988,2,1,Midwest,2,74,Pittsburgh,Vanderbilt,80,7,6,2,0,No,,2,7,0
223,1988,2,1,Midwest,14,58,Murray St,Kansas,61,6,3,2,0,Yes (2),,14,6,0
224,1988,2,1,Midwest,4,66,Kansas St,DePaul,58,5,8,1,0,Yes (1),,4,5,0
225,1988,2,2,East,1,74,Temple,Georgetown,53,8,21,1,0,No,,1,8,0
226,1988,2,2,East,2,94,Duke,SMU,79,7,15,1,0,Yes (1),,2,7,0
227,1988,2,2,East,3,94,Syracuse,Rhode Island,97,11,3,2,0,Yes (1),,3,11,0
228,1988,2,2,East,13,59,Richmond,Georgia Tech,55,5,4,1,0,No,,13,5,0
229,1988,2,3,West,1,84,Arizona,Seton Hall,55,8,29,1,0,Yes (1),,1,8,0
230,1988,2,3,West,2,123,North Carolina,Loyola Marymount,97,10,26,1,0,Yes (1),,2,10,0
231,1988,2,3,West,3,108,Michigan,Florida,85,6,23,1,0,Yes (1),,3,6,0
232,1988,2,3,West,4,85,UNLV,Iowa,104,5,19,2,0,Yes (2),,4,5,0
233,1988,2,4,Southeast,1,107,Oklahoma,Auburn,87,8,20,1,0,Yes (1),,1,8,0
234,1988,2,4,Southeast,2,90,Kentucky,Maryland,81,7,9,1,0,Yes (1),,2,7,0
235,1988,2,4,Southeast,3,63,Illinois,Villanova,66,6,3,2,0,Yes (2),,3,6,0
236,1988,2,4,Southeast,4,76,BYU,Louisville,97,5,21,2,0,Yes (2),,4,5,0
237,1988,3,1,Midwest,1,70,Purdue,Kansas St,73,4,3,2,0,Yes (1),,1,4,0
238,1988,3,1,Midwest,7,64,Vanderbilt,Kansas,77,6,13,2,0,Yes (2),,7,6,0
239,1988,3,2,East,1,69,Temple,Richmond,47,13,22,1,0,No,,1,13,0
240,1988,3,2,East,2,73,Duke,Rhode Island,72,11,1,1,0,Yes (1),,2,11,0
241,1988,3,3,West,1,99,Arizona,Iowa,79,5,20,1,0,Yes (1),,1,5,0
242,1988,3,3,West,2,78,North Carolina,Michigan,69,3,9,1,0,Yes (1),,2,3,0
243,1988,3,4,Southeast,1,108,Oklahoma,Louisville,98,5,10,1,0,Yes (1),,1,5,0
244,1988,3,4,Southeast,2,74,Kentucky,Villanova,80,6,6,2,0,Yes (1),,2,6,0
245,1988,4,1,Midwest,4,58,Kansas St,Kansas,71,6,13,2,0,Yes (1),,4,6,0
246,1988,4,2,East,1,53,Temple,Duke,63,2,10,2,0,Yes (2),,1,2,0
247,1988,4,3,West,1,70,Arizona,North Carolina,52,2,18,1,0,Yes (1),,1,2,0
248,1988,4,4,Southeast,1,78,Oklahoma,Villanova,59,6,19,1,0,Yes (1),,1,6,0
249,1988,5,1,Final Four,6,66,Kansas,Duke,59,2,7,1,0,Yes (1),,6,2,0
250,1988,5,2,Final Four,1,78,Arizona,Oklahoma,86,1,8,2,0,Yes (1),,1,1,0
251,1988,6,1,Championship,6,83,Kansas,Oklahoma,79,1,4,4,6,Yes (1),,6,1,6
252,1989,1,1,Midwest,1,77,Illinois,McNeese St,71,16,6,1,0,No,,1,16,0
253,1989,1,1,Midwest,2,104,Syracuse,Bucknell,81,15,23,1,0,Yes (1),,2,15,0
254,1989,1,1,Midwest,3,85,Missouri,Creighton,69,14,16,1,0,No,,3,14,0
255,1989,1,1,Midwest,4,76,Louisville,Arkansas Little Rock,71,13,5,1,0,Yes (1),,4,13,0
256,1989,1,1,Midwest,5,120,Arkansas,Loyola Marymount,101,12,19,1,0,No,,5,12,0
257,1989,1,1,Midwest,6,70,Georgia Tech,Texas,76,11,6,2,0,No,,6,11,0
258,1989,1,1,Midwest,7,46,Florida,Colorado St,68,10,22,2,0,Yes (1),,7,10,0
259,1989,1,1,Midwest,8,64,Pittsburgh,Ball St,68,9,4,2,0,No,,8,9,0
260,1989,1,2,Southeast,1,72,Oklahoma,East Tennessee St,71,16,1,1,0,Yes (1),,1,16,0
261,1989,1,2,Southeast,2,93,North Carolina,Southern,79,15,14,1,0,Yes (1),,2,15,0
262,1989,1,2,Southeast,3,93,Michigan,Xavier,87,14,6,1,0,Yes (1),,3,14,0
263,1989,1,2,Southeast,4,83,Florida St,Middle Tennessee St,97,13,14,2,0,No,,4,13,0
264,1989,1,2,Southeast,5,100,Virginia,Providence,97,12,3,1,0,Yes (1),,5,12,0
265,1989,1,2,Southeast,6,84,Alabama,South Alabama,86,11,2,2,0,No,,6,11,0
266,1989,1,2,Southeast,7,84,UCLA,Iowa St,74,10,10,1,0,Yes (2),,7,10,0
267,1989,1,2,Southeast,8,74,La Salle,Louisiana Tech,83,9,9,2,0,No,,8,9,0
268,1989,1,3,East,1,50,Georgetown,Princeton,49,16,1,1,0,No,,1,16,0
269,1989,1,3,East,2,90,Duke,South Carolina St,69,15,21,1,0,Yes (1),,2,15,0
270,1989,1,3,East,3,78,Stanford,Siena,80,14,2,2,0,No,,3,14,0
271,1989,1,3,East,4,87,Iowa,Rutgers,73,13,14,1,0,Yes (1),,4,13,0
272,1989,1,3,East,5,81,NC State,South Carolina,66,12,15,1,0,No,,5,12,0
